Source: IEA World Energy Balances 2022 https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
Documentation: https://iea.blob.core.windows.net/assets/25266100-859c-4b9c-bd46-cc4069bd4412/WORLDBAL_Documentation.pdf
This data is subject to the IEA's terms and conditions: https://www.iea.org/terms

,Coal,Natural gas,Hydro,"Wind, solar, etc.",Biofuels and waste,Oil,Units
1990,612583,1632906,113854,124616,39395,3488357,TJ
1995,514070,1869504,136015,132984,60977,3814628,TJ
2000,525830,2425844,159116,180844,94266,3636368,TJ
2005,689521,2958026,129841,210291,278658,3359810,TJ
2010,572498,2849396,184020,245284,529698,2734150,TJ
2015,514953,2315363,163934,372982,611017,2242298,TJ
2020,213369,2440311,171186,390925,612685,1811951,TJ
2021,232000,2613838,161060,394270,628946,1949985,TJ
